event_code,event_param,event_description
173,1,Unit Flash - other
173,2,Unit Flash - Exit
173,3,Unit Flash - Automatic
173,4,Unit Flash - Local Manual
173,5,Unit Flash - CU Fault Monitor
173,6,Unit Flash - MMU
173,7,Unit Flash - Startup
173,8,Unit Flash - Preempt
180,0,Stop Time Input Off
180,1,Stop Time Input On
200,1,Alarm On - Power Up
200,2,Alarm On - Stop Timing 
200,3,Alarm On - Cabinet Door(TS1)
200,5,Alarm On - Cabinet Door(TS2)
200,6,Alarm On - Battery Back Up
200,7,Alarm On - Phase 2 Ped Walk
200,8,Alarm On - Phase 4 Ped Walk
200,10,Alarm On - Phase 6 Ped Walk
200,11,Alarm On - Phase 8 Ped Walk
200,12,Alarm On -  Manual Control Enable
200,15,Alarm On - MMU Flash Input
200,20,Alarm On - Controller Fault
200,21,Alarm On - Detector SDLC Fault
200,23,Alarm On - Terminal Facility SDLC Fault
200,26,Alarm On - Detector Diagnotic Fault
200,27,Alarm On - Detector Fault From SDLC
200,30,Alarm On - Pattern Err
200,31,Alarm On - Cabinet Flash
200,38,Alarm On - Pattern Change
200,47,Alarm On - Coord Active
200,48,Alarm On - Preempt Active
200,49,Alarm On - Preempt 1
200,50,Alarm On - Preempt 2
200,51,Alarm On - Preempt 3
200,52,Alarm On - Preempt 4
200,53,Alarm On - Preempt 5
200,54,Alarm On - Preempt 6
200,61,Alarm On - Coord Transition
200,64,Alarm On - SynchroGreen Active
200,70,Alarm On - Internal Clock Jump
200,73,Alarm On - Controller Access
201,1,Alarm Off - Power Up
201,2,Alarm Off - Stop Timing 
201,3,Alarm Off - Cabinet Door(TS1)
201,5,Alarm Off - Cabinet Door(TS2)
201,6,Alarm Off - Battery Back Up
201,7,Alarm Off - Phase 2 Ped Walk
201,8,Alarm Off - Phase 4 Ped Walk
201,10,Alarm Off - Phase 6 Ped Walk
201,11,Alarm Off - Phase 8 Ped Walk
201,12,Alarm Off - Manual Control Enable
201,15,Alarm Off - MMU Flash Input
201,20,Alarm Off - Controller Fault
201,21,Alarm Off - Detector SDLC Fault
201,23,Alarm Off - Terminal Facility SDLC Fault
201,26,Alarm Off - Detector Diagnostic Fault
201,27,Alarm Off - Detector Fault From SDLC
201,30,Alarm Off - Pattern Err
201,31,Alarm Off - Cabinet Flash
201,47,Alarm Off - Coord Active
201,48,Alarm Off - Preempt Active
201,49,Alarm Off - Preempt 1
201,50,Alarm Off - Preempt 2
201,51,Alarm Off - Preempt 3
201,52,Alarm Off - Preempt 4
201,53,Alarm Off - Preempt 5
201,54,Alarm Off - Preempt 6
201,61,Alarm Off - Coord Transition
201,73,Alarm Off - Controller Access
